"AÑO","CODIGOOBJETODELGASTO","CODIGOAUXILIAR","NOMBREOBJETODELGASTO","CODIGOGRUPO","CODIGOSUBGRUPO"
2011,11,0,"Sueldo básico de cargos",0,1
2011,11,300,"Sueldo del Grado",0,1
2011,12,0,"Incremento por mayor horario permanente",0,1
2011,13,0,"Dedicación total",0,1
2011,14,0,"Compensación máxima al grado",0,1
2011,15,0,"Gastos de representación en el país con aportes",0,1
2011,16,0,"Gastos de representación en el país 0%aportes",0,1
2011,21,0,"Sueldo básico de funciones contratadas",0,2
2011,21,300,"Sueldo del grado de funciones contratadas",0,2
2011,22,0,"Incremento por mayor horario permanente",0,2
2011,23,0,"Dedicacion total",0,2
2011,24,0,"Compensación máxima al grado",0,2
2011,31,0,"Retribuciones zafrales y temporales",0,3
2011,31,1,"ASSE-Funcionarios  A.410 L.16170",0,3
2011,31,3,"ASSE-Eventuales  A.410 L.16170",0,3
2011,31,4,"Contrato Temporal de Derecho Público A.53 L.18719",0,3
2011,31,5,"Contrato artistico A.52 L.18719",0,3
2011,31,6,"Contrato Laboral A.54 L.18719",0,3
2011,31,7,"Regimen Provisoriato A.50 L.18719",0,3
2011,31,8,"Encuestadores Temporales del INE",0,3
2011,32,0,"Retribuciones de técnicos",0,3
2011,33,0,"Técnicos contratados c/func.alta prioridad",0,3
2011,34,0,"Contratados",0,3
2011,35,0,"Retribución cuidadores",0,3
2011,36,0,"Reincorporados y postergados A.9 L.15783",0,3
2011,37,0,"Suplencias",0,3
2011,38,0,"Personal alta especializacion estratégica A.714-716 L.16736",0,3
2011,39,0,"Junta Asesora  Ec.y Finan.A4L17060, URSEA y URSEC A5L17598",0,3
2011,41,0,"Sueldos progresivos",0,4
2011,41,1,"Sueldos progresivos-TCA Art.169 Ley16.462",0,4
2011,41,2,"Permanencia en el grado escalafón policial",0,4
2011,41,3,"Permanencia en el grado escalafón militar",0,4
2011,41,4,"Diferencia de ascenso a oficial-MDN(inc.final art7L14800)",0,4
2011,41,6,"Prima por permanencia en el cargo  A2L11021",0,4
2011,41,7,"Progresivos p/antigüedad docente-UDELAR (Univ. Rep. L12549",0,4
2011,41,8,"Diferencia de pasividad militar a reincorporados A184L14157",0,4
2011,42,0,"Compensaciones",0,4
2011,42,1,"Compensaciones congeladas",0,4
2011,42,2,"Compensación diaria por permanencia",0,4
2011,42,3,"Compensación al cargo escalafon policial",0,4
2011,42,4,"Retribución Complementaria obreros y encargados S.C.R.A.",0,4
2011,42,5,"Compensación Personal Superior-MI  L.16.170 A.148",0,4
2011,42,6,"Compensación Personal Subalterno Ejecutivo L.16.170 A.154",0,4
2011,42,7,"Compensación Personal no Ejecutivo L.16.170 A.161",0,4
2011,42,8,"Compensación Personal Ejecutivo Grado 7 a 14 L.16170 A.163",0,4
2011,42,9,"Compensación retribuir oblig.permanenciaA118L16320e inc.1y2A",0,4
2011,42,10,"Prima técnica, con aportes MD (MIsin aportes)",0,4
2011,42,11,"Compensación riesgo de Función Art.141 Ley 16.736",0,4
2011,42,12,"Compensación al cargo escalafón militar",0,4
2011,42,13,"Compensación por dedicacion especial",0,4
2011,42,14,"Compensación por permanencia a la orden",0,4
2011,42,15,"Compensación por asiduidad",0,4
2011,42,16,"Dedicación exclusiva",0,4
2011,42,17,"Compensación por alimentación (Rancho efectivo)",0,4
2011,42,18,"Compensaciones específicas s/disposiciones marco normativo",0,4
2011,42,19,"Compensación por riesgo de vuelo",0,4
2011,42,20,"Compensación personal p/mantenimiento nivel retribributivo",0,4
2011,42,22,"Compensación mensual L.16.226 A.53",0,4
2011,42,23,"Compensación riesgo especial A.117 Ley 16736",0,4
2011,42,24,"Compensación Adicional del 30%sobre sueldos funcionarios MDN",0,4
2011,42,25,"Prima técnica (Suboficial,Mayor,Sargento1ros.)L.16.226 A.54",0,4
2011,42,26,"Compensación docente",0,4
2011,42,27,"Compensación docente acumulable",0,4
2011,42,28,"Retribuciones especiales Docentes UDELAR",0,4
2011,42,31,"Retribución encargados pluviométricos-MDN",0,4
2011,42,32,"Aumento sueldo p/actividad.-ANEP-A2 L11021/A577-L.16736",0,4
2011,42,33,"Retribución complementaria, funciones fuera de residencia",0,4
2011,42,34,"Remuneraciòn complementaria por funciones distintas al cargo",0,4
2011,42,35,"Por desempeño de actividades insalubres",0,4
2011,42,37,"Fondo 5% Ley 16.170 Art.169",0,4
2011,42,38,"Compensación personal transitorias, se absorbe con ascenso",0,4
2011,42,39,"Tareas inspectivas",0,4
2011,42,40,"Asistencia directa al menor",0,4
2011,42,41,"Compensación mensual funcionarios del MSP L.16.226 A.278",0,4
2011,42,42,"Compensación choferes",0,4
2011,42,44,"Compensación Personal  A9 L16462(derg.A15L17296)",0,4
2011,42,45,"Compensación 30% p/tareas Dpto. Médico Forense-A472 L16736",0,4
2011,42,46,"Compensación distribución Fondo de Participación",0,4
2011,42,49,"Compensación por atención directa pacientes",0,4
2011,42,50,"Compensación por tareas en Salas de Seguridad L 15903 A.255",0,4
2011,42,51,"Compensación p/asesoramiento directo-Inc.02 A80 L16736",0,4
2011,42,52,"Adecuación de retribuciones c/recursos DNLQ A176L16.320",0,4
2011,42,53,"Compensación funcionarios DGIA - inc4A106L17296",0,4
2011,42,54,"Compensación 30% operativa aeroportuaria MDN L.16.226 A.91",0,4
2011,42,55,"Compensación 30% retrib.personal DGIA A118L16170yA92L16226",0,4
2011,42,56,"Incremento 30% a funcionarios-TCA -L.16.320 A.415",0,4
2011,42,57,"Aumento 30% funcionarios-P.J. A390L16320yA150L1646",0,4
2011,42,58,"Retribucion adicional según escala L.16.320 A.392",0,4
2011,42,59,"Compensación prima personal policial-MI L.16333 A.21",0,4
2011,42,60,"Compensación mensual 6,95% funcionarios ASSE L.16.462 A.103",0,4
2011,42,61,"Compensación mensual s/escala MSP L.16.462 A.103",0,4
2011,42,63,"Compensación mensual-INAME L.16.462 A.215",0,4
2011,42,64,"Compensación mensual porcentual- INAME L.16.462 A.216",0,4
2011,42,65,"Retribución porcentual -Corte Electoral- L.16.462 A.163",0,4
2011,42,66,"Compensación extraordinaria personal obrero - MTOP",0,4
2011,42,67,"Compensensación mensual p/equipo-L16462:A28MDN y inc.3A36MI",0,4
2011,42,68,"Compensación 15%-Serv. Informáticos -T.C.A L.16.462 A.174",0,4
2011,42,70,"Planificación desarrollo p/el Sector Público Art.90 L.16736",0,4
2011,42,71,"Partidas asignadas funcionarios-INAME Arts. 597 y 617 L16736",0,4
2011,42,73,"Servicios de pagaduria de Alquileres Dec706/87art.5 inc3",0,4
2011,42,74,"Partida p/elaboración Pto y Rendición Cuentas A.100 L.15903",0,4
2011,42,75,"Compensación personal excedentario",0,4
2011,42,77,"Trabajos extraordinario-MVOTMA L.16.170 A.446 L.16736 A456",0,4
2011,42,78,"Compensación Fiscal de Corte y Procurador General Nación",0,4
2011,42,79,"Compensación  funcionarios UDELAR",0,4
2011,42,80,"Retribución Jueces Militares situación retiro.A.168 L.15809",0,4
2011,42,81,"Guardias médicas",0,4
2011,42,82,"Diferencia por superar equiparación",0,4
2011,42,84,"INAME-  A.603 Ley16736 y Res.31/12/96",0,4
2011,42,85,"Compensación retribución situación p/Reestructara o Ptación.",0,4
2011,42,86,"Compensación por reestructura reforma del Estado - MSP",0,4
2011,42,87,"Incentivo al rendimiento L16170 A19",0,4
2011,42,88,"Compens. desemp.secretar./asesoram.pers.espec.",0,4
2011,42,90," Mayor Resp.y Espec.Ref.Estado. D468/97A12litC)1;(042102)",0,4
2011,42,91,"Jefes y Edecanes Casa Militar",0,4
2011,42,93,"Prima Técnica,  sin aportes.",0,4
2011,42,94,"Prima Técnica Altos Ejecutivos",0,4
2011,42,96,"Complemento Adscrip. 85%del titular- A8 y9L16320(reg.042034)",0,4
