"codigosubtema","nombresubtema","codigotema","descripcionsubtema"
"200","Asesoramiento, cooperación y representación","1","Asesorar, cooperar y representar los intereses públicos en el sistema de justicia nacional y a nivel internacional."
"201","Justicia Militar","1","Ejecutar la administración de la Justicia Militar"
"202","Prestación de Servicios de Justicia","1","Juzgar y hacer ejecutar lo juzgado a través de los Tribunales de todo el país"
"203","Gestión Adm, Serv apoyo a Tribunales y Defensorías Pcas","1","Administrar los recursos del Poder Judicial y realizar las funciones técnicas de apoyo a los tribunales así como la Defensa Pública"
"204","Justicia Administrativa","1","Ejercer la función jurisdiccional en materia contencioso administrativo"
"1001","Cámara de Senadores","2","Cámara de Senadores"
"1004","Cámara de Representantes","2","Cámara de Representantes"
"1006","Comision Administ. Poder Legislativo - Sueldos y Gastos","2","Comision Administ. Poder Legislativo - Sueldos y Gastos"
"1007","Comisionado Parlamentario-Sueldo y Gastos","2","Comisionado Parlamentario-Sueldo y Gastos"
"1008","Institución Nacional de DDHH y Defensoría del Pueblo INDDHH","2","Institución Nacional de DDHH y Defensoría del Pueblo INDDHH"
"240","Investigación fundamental","3","Desarrollar y fortalecer las actividades de apoyo a la investigación fundamental y su divulgación"
"241","Fomento a la investigación académica","3","Fortalecer la producción nacional de conocimiento científico-tecnológico"
"260","Control de la gestión","4","Realizar actividades de  auditoria, control, investigación, y propuesta de correctivos tendientes a generar un entorno económico transparente y confiable, protegiendo tanto la hacienda pública, como los derechos de  consumidores e inversores en beneficio"
"261","Protección derechos de los consumidores","4","Ejecutar y diseñar políticas dirigidas al seguimiento, difusión y cumplimiento de normas e informaciones de interés para el consumidor, de forma tal de lograr el equilibrio en las relaciones de consumo,  procurando mayor información y transparencia en el funcionamiento del mercado, eliminando los posibles abusos del sistema y las prácticas anticompetitivas"
"262","Control de asuntos fiscales, financ y gestión inst del Estado","4","Asesorar en materia económico y financiera del Estado y sobre Normas y Conductas de la Función Pública"
"263","Control de organismos que administran o reciben fondos públicos","4","Realizar el contralor económico, financiero, de legalidad y de gestión de los organismos que administran o reciben fondos públicos."
"280","Bienes y servicios culturales","5","Aumentar el nivel de producción y disfrute de los bienes y servicios culturales por parte de los ciudadanos, en todo el territorio nacional, protegiendo y promoviendo el desarrollo de los derechos culturales, la calidad y la diversidad cultural"
"281","Institucionalidad cultural","5","Contribuir al desarrollo, a la preservación y a la difusión del acervo cultural de las instituciones culturales públicas y privadas, así como el estímulo de la interacción público-privado"
"282","Deporte comunitario","5"," Descentralizar la gestión del deporte al ámbito local, promover la participación ciudadana y el fortalecimiento de las organizaciones deportivas y ampliar la oferta de programas garantizando equidad de género e inclusión social."
"283","Deporte federado","5","Promover, en conjunto con las federaciones uruguayas, el desarrollo del deporte en todo el país, en especial con niños, jóvenes y mujeres, a través del fortalecimiento institucional y la profesionalización de su gobernanza"
"300","Defensa Nacional","6","Mantener un poder de disuasión sustentable y eficaz basado en el desarrollo y mantenimiento de las capacidades en favor de la defensa."
"320","Fortalecimiento de la base productiva de bienes y servicios","7","Desarrollar políticas transversales que estimulen el fortalecimiento de la estructura productiva en su conjunto, con foco en la competitividad y en el ambiente requerido para el fomento de la inversión productiva y tecnológica"
"321","Cadenas de valor intensivas en innovación","7","Desarrollar políticas activas de especialización productiva de corte sectorial en cadenas de valor intensivas en innovación"
"322","Cadenas de valor motores de crecimiento","7","Desarrollar políticas activas de especialización productiva de corte sectorial en cadenas de valor consideradas motores del crecimiento"
"323","Cad. de valor generadoras de empleo y desarrollo prod local","7","Desarrollar políticas activas de especialización productiva de corte sectorial en cadenas de valor generadoras de empleo y desarrollo productivo local"
"1","Consejo Directivo Central","8","El Consejo Directivo Central, de acuerdo a la Ley General de Educación Nº 18.437, es el órgano rector de la Administración Nacional de Educación Pública.
El Consejo Directivo Central tiene la tarea de definir las orientaciones generales de los niveles y modalidades educativas que se encuentran en su órbita a las que se deberán ajustar los planes y programas que propongan los consejos de educación. Los cometidos de éste órgano están descriptos en el artículo 59 de la Ley General de Educación, integrando el Sistema Nacional de Educación Pública y debiendo contemplar la líneas transversales establecidas en la Ley Nº 18.437."
"2","Educacion Inicial y Primaria","8","El Consejo de Educación Inicial y Primaria tiene a su cargo la cobertura pública de la educación básica a nivel nacional, considerando la obligatoriedad constitucional que establece la asistencia del menor a la escuela, y atendiendo a la población de las siguientes áreas: Educación Inicial, Educación Primaria y Educación Especial."
"3","Educación secundaria","8","Compete a este Consejo impartir la Educación Secundaria pública en todo el territorio nacional, en dos ciclos: Ciclo Básico obligatorio y Educación Media Superior.
La población a la que está dirigida son aquellas personas que acrediten haber aprobado el Ciclo de Educación Primaria.
Es la principal responsabilidad del Consejo de Educación Secundaria la formación de ciudadanos para la participación en una sociedad democrática y solidaria, promoviendo el desarrollo de la personalidad del educando, la igualdad de oportunidades, la equidad de género, el respeto por las diversidades y la integración de los sectores sociales de las culturas propias de todos los actores.
La habilitación y supervisión de la Educación Media Privada. Así como la administración de los servicios y dependencias a su cargo."
