"AÑO","CODIGOINCISO","CODIGOPROGRAMA","CODIGOPROYECTO","NOMBREPROYECTO"
2011,1,1001,0,"Funcionamiento"
2011,1,1001,703,"Equipamiento"
2011,1,1001,704,"Apoyo al Parlamento Uruguayo"
2011,1,1001,705,"Red de Información Global-BID"
2011,1,1001,706,"Donación Banco Mundial"
2011,1,1004,0,"Funcionamiento"
2011,1,1004,701,"Equipamiento"
2011,1,1006,0,"Funcionamiento"
2011,1,1006,704,"Equipamiento"
2011,1,1006,706,"Reparaciones varias"
2011,1,1006,707,"Obra edificio de las comisiones"
2011,1,1006,708,"Adquisición vehículo"
2011,1,1006,709,"Expropiaciones-Demolición y Acondicionamiento de 2 Padrones"
2011,1,1006,711,"Alarma contra incendio"
2011,1,1006,712,"Reacond. instalac. eléctricas Palacio Legislativo"
2011,1,1006,713,"Adquisición e instalación de 4 ascensores"
2011,1,1006,714,"Informatización de los servicios"
2011,1,1006,715,"Instal. de enfriador para sist. central aire acondic."
2011,1,1006,716,"Restauración acervo artístico y cultural del P.L."
2011,1,1006,717,"Restauraciones en el momento histórico P.L."
2011,1,1006,719,"Adquisición y recambio grupo electrógeno P.L."
2011,1,1006,720,"Reacondicionamiento Térmico de Subsuelo y Planta Baja"
2011,1,1006,722,"Reasentamiento de los ocupantes fincas expropiadas"
2011,1,1006,723,"Reconstrucción techos de cobre"
2011,1,1006,724,"Recuperación esgrafiados"
2011,1,1006,725,"Terminación de Aticos CCRR y CCSS"
2011,1,1006,726,"Repavimentación explanadas"
2011,1,1006,727,"Equipo Aire Acondicionado Edif.José Artigas"
2011,1,1006,730,"Ampliación sub-suelo Pcio. Leg. y Repavimentación"
2011,1,1006,731,"Sistema de Aire Acondicionado Central Edificio Palacio"
2011,1,1006,732,"Acondicionamiento y Pavimentación Explanada Ppal.s/Av.Lib"
2011,1,1006,733,"Restauración y Adecuación Sala Sesiones C.Representantes"
2011,1,1006,734,"Sustitución alfombrado por baldosas granito corredores Ed.AP"
2011,1,1006,735,"Instalación de Circuito Cerrado de Televisión"
2011,1,1006,736,"Cambio de sensores de incendio Ed. Pcio. Legislativo"
2011,1,1006,737,"Adquisición Sistema de Extinción Automático de Incendio"
2011,1,1006,738,"Adecuación de las Instalaciones Eléctricas del Palacio"
2011,1,1006,739,"Impermeabilización de azoteas del Edif. José Artigas"
2011,1,1006,740,"Dos Salas de Eventos y Conferencias"
2011,1,1007,0,"Funcionamiento"
2011,1,1007,704,"Equipamiento"
2011,2,261,0,"Funcioanmiento"
2011,2,261,700,"Equipamiento, mobiliario y refacciones - Junta Nacional de l"
2011,2,261,701,"Equipamiento y mobiliario"
2011,2,261,702,"Equipamiento y remodelación del Mausoleo al General  Artigas"
2011,2,261,703,"Red de interconexión Presidencia/Administración Pública"
2011,2,261,704," Adquisición y remodelación  de inmuebles"
2011,2,261,705,"Adquisición de vehículos y accesorios para los mismos"
2011,2,261,706,"Mobiliario y equipamiento de Casa Militar"
2011,2,261,707,"Equipamiento y Mobiliario Area de Comunicación"
2011,2,261,708,"Equipamiento y maquinaria del Establecimiento Anchorena"
2011,2,261,709,"Adquisición de maq., mobiliario y equipamiento de oficina"
2011,2,261,710,"Unidad Nacional de Seguridad Vial"
2011,2,261,711,"Equipo personal e instrumentos para fiscalización"
2011,2,261,712,"Mobiliario, instalaciones y equipamiento de oficina"
2011,2,261,717," Equipamiento y compra de un servidor central de Red"
2011,2,261,718,"Mobiliario, equipos de oficina, informáticos y software"
2011,2,261,730,"Equipamiento Informático"
2011,2,261,734,"Soporte informático"
2011,2,261,736,"Reparación de edificios"
2011,2,261,738,"Adquisición de mobiliario y equipos"
2011,2,261,743,"Competitividad de conglomerados"
2011,2,261,744,"Microfinanzas y articulación productiva"
2011,2,261,746,"Programa de Apoyo al Sector Productivo"
2011,2,261,801,"Portal del Estado"
2011,2,261,802,"Intranet del Estado"
2011,2,261,803,"Ventanilla Única"
2011,2,261,804,"Equipamiento informático y de oficina"
2011,2,261,805,"Fortalecimiento de las Áreas de TI"
2011,2,261,806,"Certificado Digital Raíz"
2011,2,261,807,"Fortalecimiento de procesos de Seguridad Informática"
2011,2,261,808,"Red Interadministrativa de alta velocidad del Estado Uruguay"
2011,2,261,809,"Plataforma de Gobierno Electrónico"
2011,2,261,810,"Fortalecimiento del Marco General de Uso de las TICs"
2011,2,261,811,"Expediente Electrónico"
2011,2,261,812,"Sociedad de la Información"
2011,2,261,960,"Programa de Desarrollo Municipal"
2011,2,261,970,"Desarrollo del Sistema Nacional de Inversiones Públicas"
2011,2,261,971,"Equipamiento y mobiliario de oficina"
2011,2,261,972,"Informática"
2011,2,261,973,"Inmuebles"
2011,2,261,974,"Vehículos"
2011,2,261,986,"Adquisición de vehículos"
2011,2,261,987,"Adquisición de equipos de computación"
2011,2,261,988,"Adquisición de mobiliario y equipo de oficina"
2011,2,261,990,"Adquisición de equipos de comunicaciones"
2011,2,261,992,"Adquisición y refacción de inmuebles"
2011,2,320,0,"Funcionamiento"
2011,2,320,201,"Competividad de Conglomerados"
2011,2,320,202,"Microfinan. y artic. productiva"
2011,2,320,203,"Prog. Apoyo Sector Productivo"
2011,2,320,700,"Equipamiento, mobiliario y refacciones - Junta Nacional de l"
2011,2,320,701,"Equipamiento y mobiliario"
2011,2,320,702,"Equipamiento y remodelación del Mausoleo al General  Artigas"
2011,2,320,703,"Red de interconexión Presidencia/Administración Pública"
2011,2,320,704," Adquisición y remodelación  de inmuebles"
2011,2,320,705,"Adquisición de vehículos y accesorios para los mismos"
2011,2,320,706,"Mobiliario y equipamiento de Casa Militar"
2011,2,320,707,"Equipamiento y Mobiliario Area de Comunicación"
2011,2,320,708,"Equipamiento y maquinaria del Establecimiento Anchorena"
2011,2,320,709,"Adquisición de maq., mobiliario y equipamiento de oficina"
2011,2,320,710,"Unidad Nacional de Seguridad Vial"
2011,2,320,711,"Equipo personal e instrumentos para fiscalización"
2011,2,320,712,"Mobiliario, instalaciones y equipamiento de oficina"
2011,2,320,717," Equipamiento y compra de un servidor central de Red"
2011,2,320,718,"Mobiliario, equipos de oficina, informáticos y software"
2011,2,320,730,"Equipamiento Informático"
2011,2,320,734,"Soporte informático"
2011,2,320,736,"Reparación de edificios"
2011,2,320,738,"Adquisición de mobiliario y equipos"
2011,2,320,743,"Competitividad de conglomerados"
2011,2,320,744,"Microfinanzas y articulación productiva"
2011,2,320,746,"Programa de Apoyo al Sector Productivo"
2011,2,320,801,"Portal del Estado"
2011,2,320,802,"Intranet del Estado"
2011,2,320,803,"Ventanilla Única"
2011,2,320,804,"Equipamiento informático y de oficina"
2011,2,320,805,"Fortalecimiento de las Áreas de TI"
2011,2,320,806,"Certificado Digital Raíz"
2011,2,320,807,"Fortalecimiento de procesos de Seguridad Informática"
2011,2,320,808,"Red Interadministrativa de alta velocidad del Estado Uruguay"
2011,2,320,809,"Plataforma de Gobierno Electrónico"
2011,2,320,810,"Fortalecimiento del Marco General de Uso de las TICs"
2011,2,320,811,"Expediente Electrónico"
2011,2,320,812,"Sociedad de la Información"
2011,2,320,960,"Programa de Desarrollo Municipal"
2011,2,320,970,"Desarrollo del Sistema Nacional de Inversiones Públicas"
2011,2,320,971,"Equipamiento y mobiliario de oficina"
2011,2,320,972,"Informática"
2011,2,320,973,"Inmuebles"
2011,2,320,974,"Vehículos"
2011,2,320,986,"Adquisición de vehículos"
2011,2,320,987,"Adquisición de equipos de computación"
2011,2,320,988,"Adquisición de mobiliario y equipo de oficina"
2011,2,320,990,"Adquisición de equipos de comunicaciones"
2011,2,320,992,"Adquisición y refacción de inmuebles"
2011,2,343,0,"Funcionamiento"
2011,2,343,700,"Equipamiento, mobiliario y refacciones - Junta Nacional de l"
2011,2,343,701,"Equipamiento y mobiliario"
2011,2,343,702,"Equipamiento y remodelación del Mausoleo al General  Artigas"
2011,2,343,703,"Red de interconexión Presidencia/Administración Pública"
2011,2,343,704," Adquisición y remodelación  de inmuebles"
2011,2,343,705,"Adquisición de vehículos y accesorios para los mismos"
2011,2,343,706,"Mobiliario y equipamiento de Casa Militar"
2011,2,343,707,"Equipamiento y Mobiliario Area de Comunicación"
2011,2,343,708,"Equipamiento y maquinaria del Establecimiento Anchorena"
2011,2,343,709,"Adquisición de maq., mobiliario y equipamiento de oficina"
2011,2,343,710,"Unidad Nacional de Seguridad Vial"
2011,2,343,711,"Equipo personal e instrumentos para fiscalización"
2011,2,343,712,"Mobiliario, instalaciones y equipamiento de oficina"
2011,2,343,717," Equipamiento y compra de un servidor central de Red"
2011,2,343,718,"Mobiliario, equipos de oficina, informáticos y software"
2011,2,343,730,"Equipamiento Informático"
2011,2,343,734,"Soporte informático"
2011,2,343,736,"Reparación de edificios"
2011,2,343,738,"Adquisición de mobiliario y equipos"
2011,2,343,743,"Competitividad de conglomerados"
2011,2,343,744,"Microfinanzas y articulación productiva"
2011,2,343,746,"Programa de Apoyo al Sector Productivo"
2011,2,343,801,"Portal del Estado"
2011,2,343,802,"Intranet del Estado"
2011,2,343,803,"Ventanilla Única"
2011,2,343,804,"Equipamiento informático y de oficina"
2011,2,343,805,"Fortalecimiento de las Áreas de TI"
2011,2,343,806,"Certificado Digital Raíz"
2011,2,343,807,"Fortalecimiento de procesos de Seguridad Informática"
2011,2,343,808,"Red Interadministrativa de alta velocidad del Estado Uruguay"
2011,2,343,809,"Plataforma de Gobierno Electrónico"
2011,2,343,810,"Fortalecimiento del Marco General de Uso de las TICs"
2011,2,343,811,"Expediente Electrónico"
2011,2,343,812,"Sociedad de la Información"
2011,2,343,960,"Programa de Desarrollo Municipal"
2011,2,343,970,"Desarrollo del Sistema Nacional de Inversiones Públicas"
2011,2,343,971,"Equipamiento y Mobiliario de Oficina"
2011,2,343,972,"Informática"
2011,2,343,973,"Inmuebles"
2011,2,343,974,"Vehículos"
2011,2,343,986,"Adquisición de vehículos"
2011,2,343,987,"Adquisición de equipos de computación"
2011,2,343,988,"Adquisición de mobiliario y equipo de oficina"
2011,2,343,990,"Adquisición de equipos de comunicaciones"
2011,2,343,992,"Adquisición y refacción de inmuebles"
2011,2,361,0,"Funcionamiento"
2011,2,361,203,"Prog. Apoyo Sector Productivo"
2011,2,361,700,"Equipamiento, mobiliario y refacciones - Junta Nacional de l"
2011,2,361,701,"Equipamiento y mobiliario"
2011,2,361,702,"Equipamiento y remodelación del Mausoleo al General  Artigas"
2011,2,361,703,"Red de interconexión Presidencia/Administración Pública"
2011,2,361,704," Adquisición y remodelación  de inmuebles"
2011,2,361,705,"Adquisición de vehículos y accesorios para los mismos"
2011,2,361,706,"Mobiliario y equipamiento de Casa Militar"
2011,2,361,707,"Equipamiento y Mobiliario Area de Comunicación"
2011,2,361,708,"Equipamiento y maquinaria del Establecimiento Anchorena"
2011,2,361,709,"Adquisición de maq., mobiliario y equipamiento de oficina"
2011,2,361,710,"Unidad Nacional de Seguridad Vial"
2011,2,361,711,"Equipo personal e instrumentos para fiscalización"
2011,2,361,712,"Mobiliario, instalaciones y equipamiento de oficina"
2011,2,361,717," Equipamiento y compra de un servidor central de Red"
2011,2,361,718,"Mobiliario, equipos de oficina, informáticos y software"
2011,2,361,730,"Equipamiento Informático"
2011,2,361,734,"Soporte informático"
2011,2,361,736,"Reparación de edificios"
2011,2,361,738,"Adquisición de mobiliario y equipos"
2011,2,361,743,"Competitividad de conglomerados"
2011,2,361,744,"Microfinanzas y articulación productiva"
2011,2,361,746,"Programa de Apoyo al Sector Productivo"
2011,2,361,801,"Portal del Estado"
2011,2,361,802,"Intranet del Estado"
2011,2,361,803,"Ventanilla Única"
2011,2,361,804,"Equipamiento informático y de oficina"
2011,2,361,805,"Fortalecimiento de las Áreas de TI"
2011,2,361,806,"Certificado Digital Raíz"
2011,2,361,807,"Fortalecimiento de procesos de Seguridad Informática"
2011,2,361,808,"Red Interadministrativa de alta velocidad del Estado Uruguay"
2011,2,361,809,"Plataforma de Gobierno Electrónico"
2011,2,361,810,"Fortalecimiento del Marco General de Uso de las TICs"
2011,2,361,811,"Expediente Electrónico"
2011,2,361,812,"Sociedad de la Información"
2011,2,361,960,"Programa de Desarrollo Municipal"
2011,2,361,970,"Desarrollo del Sistema Nacional de Inversiones Públicas"
2011,2,361,971,"Equipamiento y mobiliario de oficina"
2011,2,361,972,"Informática"
2011,2,361,973,"Inmuebles"
2011,2,361,974,"Vehículos"
2011,2,361,986,"Adquisición de vehículos"
2011,2,361,987,"Adquisición de equipos de computación"
2011,2,361,988,"Adquisición de mobiliario y equipo de oficina"
2011,2,361,990,"Adquisición de equipos de comunicaciones"
2011,2,361,992,"Adquisición y refacción de inmuebles"
2011,2,369,0,"Funcionamiento"
2011,2,369,700,"Equipamiento, mobiliario y refacciones - Junta Nacional de l"
2011,2,369,701,"Equipamiento y mobiliario"
2011,2,369,702,"Equipamiento y remodelación del Mausoleo al General  Artigas"
2011,2,369,703,"Red de interconexión Presidencia/Administración Pública"
2011,2,369,704," Adquisición y remodelación  de inmuebles"
2011,2,369,705,"Adquisición de vehículos y accesorios para los mismos"
2011,2,369,706,"Mobiliario y equipamiento de Casa Militar"
2011,2,369,707,"Equipamiento y Mobiliario Area de Comunicación"
2011,2,369,708,"Equipamiento y maquinaria del Establecimiento Anchorena"
2011,2,369,709,"Adquisición de maq., mobiliario y equipamiento de oficina"
2011,2,369,710,"Unidad Nacional de Seguridad Vial"
2011,2,369,711,"Equipo personal e instrumentos para fiscalización"
2011,2,369,712,"Mobiliario, instalaciones y equipamiento de oficina"
2011,2,369,717," Equipamiento y compra de un servidor central de Red"
2011,2,369,718,"Mobiliario, equipos de oficina, informáticos y software"
2011,2,369,730,"Equipamiento Informático"
2011,2,369,734,"Soporte informático"
2011,2,369,736,"Reparación de edificios"
2011,2,369,738,"Adquisición de mobiliario y equipos"
2011,2,369,743,"Competitividad de conglomerados"
2011,2,369,744,"Microfinanzas y articulación productiva"
2011,2,369,746,"Programa de Apoyo al Sector Productivo"
2011,2,369,801,"Portal del Estado"
2011,2,369,802,"Intranet del Estado"
2011,2,369,803,"Ventanilla Única"
2011,2,369,804,"Equipamiento informático y de oficina"
2011,2,369,805,"Fortalecimiento de las Áreas de TI"
2011,2,369,806,"Certificado Digital Raíz"
2011,2,369,807,"Fortalecimiento de procesos de Seguridad Informática"
2011,2,369,808,"Red Interadministrativa de alta velocidad del Estado Uruguay"
2011,2,369,809,"Plataforma de Gobierno Electrónico"
2011,2,369,810,"Fortalecimiento del Marco General de Uso de las TICs"
2011,2,369,811,"Expediente Electrónico"
2011,2,369,812,"Sociedad de la Información"
2011,2,369,960,"Programa de Desarrollo Municipal"
2011,2,369,970,"Desarrollo del Sistema Nacional de Inversiones Públicas"
2011,2,369,971,"Equipamiento y Mobiliario de Oficina"
2011,2,369,972,"Informática"
2011,2,369,973,"Inmuebles"
2011,2,369,974,"Vehículos"
2011,2,369,986,"Adquisición de vehículos"
2011,2,369,987,"Adquisición de equipos de computación"
2011,2,369,988,"Adquisición de mobiliario y equipo de oficina"
2011,2,369,990,"Adquisición de equipos de comunicaciones"
2011,2,369,992,"Adquisición y refacción de inmuebles"
2011,2,402,0,"Funcionamiento"
2011,2,420,0,"Funcionamiento"
2011,2,420,506,"Fortalecimiento Institucional"
2011,2,420,603,"Enc.Gtos. e Ingrs.de Hogares"
2011,2,420,604,"Enc. de Hogares Ampliada"
2011,2,420,605,"Enc. contínua de Hogares"
2011,2,420,606,"Cálc.y Seg.de nuev.líneas pobr."
2011,2,420,607,"Anál.y dif.datos EIGH y proc.datos EHA"
2011,2,420,608,"Cambio de base IMS e IPC"
2011,2,420,609,"Planif.y ejec.Censo 2010(P,V y H)"
2011,2,420,700,"Equipamiento, mobiliario y refacciones - Junta Nacional de l"
2011,2,420,701,"Equipamiento y mobiliario"
2011,2,420,702,"Equipamiento y remodelación del Mausoleo al General  Artigas"
2011,2,420,703,"Red de interconexión Presidencia/Administración Pública"
2011,2,420,704," Adquisición y remodelación  de inmuebles"
2011,2,420,705,"Adquisición de vehículos y accesorios para los mismos"
2011,2,420,706,"Mobiliario y equipamiento de Casa Militar"
2011,2,420,707,"Equipamiento y Mobiliario Area de Comunicación"
2011,2,420,708,"Equipamiento y maquinaria del Establecimiento Anchorena"
2011,2,420,709,"Adquisición de maq., mobiliario y equipamiento de oficina"
2011,2,420,710,"Unidad Nacional de Seguridad Vial"
2011,2,420,711,"Equipo personal e instrumentos para fiscalización"
2011,2,420,712,"Mobiliario, instalaciones y equipamiento de oficina"
2011,2,420,717," Equipamiento y compra de un servidor central de Red"
2011,2,420,718,"Mobiliario, equipos de oficina, informáticos y software"
2011,2,420,730,"Equipamiento Informático"
2011,2,420,734,"Soporte informático"
2011,2,420,736,"Reparación de edificios"
2011,2,420,738,"Adquisición de mobiliario y equipos"
2011,2,420,743,"Competitividad de conglomerados"
2011,2,420,744,"Microfinanzas y articulación productiva"
2011,2,420,746,"Programa de Apoyo al Sector Productivo"
2011,2,420,801,"Portal del Estado"
2011,2,420,802,"Intranet del Estado"
2011,2,420,803,"Ventanilla Única"
2011,2,420,804,"Equipamiento informático y de oficina"
2011,2,420,805,"Fortalecimiento de las Áreas de TI"
2011,2,420,806,"Certificado Digital Raíz"
2011,2,420,807,"Fortalecimiento de procesos de Seguridad Informática"
2011,2,420,808,"Red Interadministrativa de alta velocidad del Estado Uruguay"
2011,2,420,809,"Plataforma de Gobierno Electrónico"
2011,2,420,810,"Fortalecimiento del Marco General de Uso de las TICs"
2011,2,420,811,"Expediente Electrónico"
2011,2,420,812,"Sociedad de la Información"
2011,2,420,960,"Programa de Desarrollo Municipal"
2011,2,420,970,"Desarrollo del Sistema Nacional de Inversiones Públicas"
2011,2,420,971,"Equipamiento y mobiliario de Oficina"
2011,2,420,972,"Informática"
2011,2,420,973,"Inmuebles"
2011,2,420,974,"Vehículos"
2011,2,420,986,"Adquisición de vehículos"
2011,2,420,987,"Adquisición de equipos de computación"
2011,2,420,988,"Adquisición de mobiliario y equipo de oficina"
2011,2,420,990,"Adquisición de equipos de comunicaciones"
2011,2,420,992,"Adquisición y refacción de inmuebles"
2011,2,421,0,"Funcionamiento"
2011,2,421,700,"Equipamiento, mobiliario y refacciones - Junta Nacional de l"
2011,2,421,701,"Equipamiento y mobiliario"
2011,2,421,702,"Equipamiento y remodelación del Mausoleo al General  Artigas"
2011,2,421,703,"Red de interconexión Presidencia/Administración Pública"
2011,2,421,704," Adquisición y remodelación  de inmuebles"
