APcodigo,"apNombre",programaCodigo,"nombre","Objetivo","Alcance"
1,"ADMINISTRACIÓN DE JUSTICIA",200,"Asesoramiento, cooperación y representación","Asesorar, cooperar y representar los intereses públicos en el sistema de justicia nacional y a nivel internacional.",""
1,"ADMINISTRACIÓN DE JUSTICIA",201,"Justicia Militar","Ejecutar la administración de la Justicia Militar",""
1,"ADMINISTRACIÓN DE JUSTICIA",202,"Prestación de Servicios de Justicia","Juzgar y hacer ejecutar lo juzgado a través de los Tribunales de todo el país",""
1,"ADMINISTRACIÓN DE JUSTICIA",203,"Gestión Adm, Serv apoyo a Tribunales y Defensorías Pcas","Administrar los recursos del Poder Judicial y realizar las funciones técnicas de apoyo a los tribunales así como la Defensa Pública",""
1,"ADMINISTRACIÓN DE JUSTICIA",204,"Justicia Administrativa","Ejercer la función jurisdiccional en materia contencioso administrativo",""
2,"ASUNTOS LEGISLATIVOS",1001,"Cámara de Senadores","Cámara de Senadores",""
2,"ASUNTOS LEGISLATIVOS",1004,"Cámara de Representantes","Cámara de Representantes",""
2,"ASUNTOS LEGISLATIVOS",1006,"Comision Administ. Poder Legislativo - Sueldos y Gastos","Comision Administ. Poder Legislativo - Sueldos y Gastos",""
2,"ASUNTOS LEGISLATIVOS",1007,"Comisionado Parlamentario-Sueldo y Gastos","Comisionado Parlamentario-Sueldo y Gastos",""
2,"ASUNTOS LEGISLATIVOS",1008,"Institución Nacional de DDHH y Defensoría del Pueblo INDDHH","Institución Nacional de DDHH y Defensoría del Pueblo INDDHH",""
3,"CIENCIA, TECNOLOGÍA E INNOVACIÓN",240,"Investigación fundamental","Desarrollar y fortalecer las actividades de apoyo a la investigación fundamental y su divulgación",""
3,"CIENCIA, TECNOLOGÍA E INNOVACIÓN",241,"Fomento a la investigación académica","Fortalecer la producción nacional de conocimiento científico-tecnológico","El mismo responde exclusivamente a partidas que se transfieren a través del inciso 21 (Subsidios y Subvenciones) a los siguientes organismos y programas: ANII, Instituto Pasteur, INIA y PEDECIBA"
4,"CONTROL Y TRANSPARENCIA",260,"Control de la gestión","Realizar actividades de  auditoria, control, investigación, y propuesta de correctivos tendientes a generar un entorno económico transparente y confiable, protegiendo tanto la hacienda pública, como los derechos de  consumidores e inversores en beneficio","Abarca el desarrollo de acciones tendientes a la mejora de la gestión de la hacienda pública, verificación de los sistemas de control administrativo  de acuerdo a normas de auditoría generalmente aceptadas y publicar sus resultados, analizar el movimiento"
